id,senate_id,name,description,address,country,state
521,401109726,KANTER STRATEGIES LLC,,,US,VA
522,401108550,TECHMET USA INC.,,,US,DE
523,401107747,ORSO GROUP,,,US,MD
524,289773,"BOCKORNY GROUP, INC.",Government relations firm,,US,DC
525,35560,"SKADDEN, ARPS, SLATE, MEAGHER & FLOM LLP",Law Firm,,US,DC
526,11674,DAVIS & HARMAN LLP,Law Firm.,,US,DC
527,85071,"NAVIGATORS GLOBAL LLC (FORMERLY DC NAVIGATORS, LLC)",Government affairs.,,US,DC
528,401105389,SCHAERR JAFFE LLP,Law firm,,US,DC
529,401004840,"THE CONAFAY GROUP, LLC",Life Sciences Consulting Firm,,US,DC
530,401103224,VANTAGE POINT STRATEGIES LLC,Lobbying Firm,,US,VA
531,401105892,HJ TOBIN POLICY CONSULTING,Sole proprietor public policy consultant,,US,MA
532,401108962,"CARLOUGH SOLUTIONS, LLC",,,US,KY
533,401110165,MR. DAVID FRIEDMAN,,,US,FL
534,401108436,EARL STOCKDALE,,,US,DE
